date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:23	83/83	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Aug%202025%2005:23:18%20GMT	http://onyxdestinations.com/robots.txt		(from )
00:02:24	117853/117853	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:32:24%20GMT	http://onyxdestinations.com/	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/index.html	(from )
00:02:24	1130/1130	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Sep%202025%2005:04:29%20GMT	http://onyxdestinations.com/templates/default/images/favicon.png	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/templates/default/images/favicon.png	(from http://onyxdestinations.com/)
00:02:24	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-1d970%22	http://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/EDITHAK/Downloads/hotel/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	(from http://onyxdestinations.com/)
00:02:25	4399/4399	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Aug%202025%2005:23:20%20GMT	http://onyxdestinations.com/js/plugins/royalslider/royalslider.css	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/js/plugins/royalslider/royalslider.css	(from http://onyxdestinations.com/)
00:02:25	8787/8787	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Aug%202025%2005:23:20%20GMT	http://onyxdestinations.com/js/plugins/royalslider/skins/minimal-white/rs-minimal-white.css	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/js/plugins/royalslider/skins/minimal-white/rs-minimal-white.css	(from http://onyxdestinations.com/)
00:02:25	31286/31286	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-7a36%22	http://code.jquery.com/ui/1.12.1/themes/smoothness/jquery-ui.min.css	C:/Users/EDITHAK/Downloads/hotel/code.jquery.com/ui/1.12.1/themes/smoothness/jquery-ui.min.css	(from http://onyxdestinations.com/)
00:02:26	11184/11184	---M-Z	200	added ('OK')	text/css	etag:%225efa1cee-2bb0%22	http://cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.13.18/css/bootstrap-select.min.css	C:/Users/EDITHAK/Downloads/hotel/cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.13.18/css/bootstrap-select.min.css	(from http://onyxdestinations.com/)
00:02:26	5259/5259	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed4-148b%22	http://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/magnific-popup.min.css	C:/Users/EDITHAK/Downloads/hotel/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/magnific-popup.min.css	(from http://onyxdestinations.com/)
00:02:27	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2274bab4578692993514e7f882cc15c218%22	http://use.fontawesome.com/releases/v5.15.3/css/all.css	C:/Users/EDITHAK/Downloads/hotel/use.fontawesome.com/releases/v5.15.3/css/all.css	(from http://onyxdestinations.com/)
00:02:27	1256/1256	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Aug%202025%2016:39:44%20GMT	http://onyxdestinations.com/common/fonts/style.css	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/common/fonts/style.css	(from http://onyxdestinations.com/)
00:02:27	2182/2182	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Aug%202025%2005:23:40%20GMT	http://onyxdestinations.com/common/css/shortcodes.css	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/common/css/shortcodes.css	(from http://onyxdestinations.com/)
00:02:28	25119/25119	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20Oct%202025%2005:04:14%20GMT	http://onyxdestinations.com/templates/default/css/layout.css	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/templates/default/css/layout.css	(from http://onyxdestinations.com/)
00:02:28	13543/13543	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Oct%202025%2004:59:46%20GMT	http://onyxdestinations.com/templates/default/css/colors.css	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/templates/default/css/colors.css	(from http://onyxdestinations.com/)
00:02:28	21921/21921	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Nov%202025%2005:36:12%20GMT	http://onyxdestinations.com/templates/default/css/main.css	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/templates/default/css/main.css	(from http://onyxdestinations.com/)
00:02:28	29046/29046	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Nov%202025%2001:17:08%20GMT	http://onyxdestinations.com/templates/default/css/custom.css	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/templates/default/css/custom.css	(from http://onyxdestinations.com/)
00:02:30	39065/39065	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:32:30%20GMT	http://onyxdestinations.com/about-us	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/about-us.html	(from http://onyxdestinations.com/)
00:02:30	42386/42386	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:32:31%20GMT	http://onyxdestinations.com/gallery	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/gallery.html	(from http://onyxdestinations.com/)
00:02:30	42200/42200	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:32:31%20GMT	http://onyxdestinations.com/hotels-map	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/hotels-map.html	(from http://onyxdestinations.com/)
00:02:31	47925/47925	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:32:31%20GMT	http://onyxdestinations.com/hotels	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/hotels.html	(from http://onyxdestinations.com/)
00:02:32	319427/319427	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:32:32%20GMT	http://onyxdestinations.com/booking	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/booking.html	(from http://onyxdestinations.com/)
00:02:34	37035/37035	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:32:33%20GMT	http://onyxdestinations.com/destinations	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/destinations.html	(from http://onyxdestinations.com/)
00:02:34	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-17b8b%22	http://code.jquery.com/jquery-1.12.4.min.js	C:/Users/EDITHAK/Downloads/hotel/code.jquery.com/jquery-1.12.4.min.js	(from http://onyxdestinations.com/)
